"state","year","age","population"
"AM",2010,65,89407
"AM",2010,75,47914
"AM",2010,90,5133
"AM",2011,25,629915
"AM",2011,35,446655
"AM",2011,45,298136
"AM",2011,55,176029
"AM",2011,65,92643
"AM",2011,75,49227
"AM",2011,90,5240
"AM",2012,25,641479
"AM",2012,35,463860
"AM",2012,45,309627
"AM",2012,55,184693
"AM",2012,65,96057
"AM",2012,75,50709
"AM",2012,90,5338
"AM",2013,25,651662
"AM",2013,35,481660
"AM",2013,45,321367
"AM",2013,55,193758
"AM",2013,65,99730
"AM",2013,75,52356
"AM",2013,90,5433
"AM",2014,25,661051
"AM",2014,35,499752
"AM",2014,45,333400
"AM",2014,55,203056
"AM",2014,65,103792
"AM",2014,75,54151
"AM",2014,90,5532
"AM",2015,25,670090
"AM",2015,35,517870
"AM",2015,45,345771
"AM",2015,55,212491
"AM",2015,65,108312
"AM",2015,75,56096
"AM",2015,90,5632
"AM",2016,25,678593
"AM",2016,35,536026
"AM",2016,45,358452
"AM",2016,55,222075
"AM",2016,65,113263
"AM",2016,75,58206
"AM",2016,90,5754
"AM",2017,25,686299
"AM",2017,35,554298
"AM",2017,45,371365
"AM",2017,55,231808
"AM",2017,65,118627
"AM",2017,75,60506
"AM",2017,90,5914
"AM",2018,25,693938
"AM",2018,35,572116
"AM",2018,45,384728
"AM",2018,55,241709
"AM",2018,65,124409
"AM",2018,75,62965
"AM",2018,90,6103
"AM",2019,25,702573
"AM",2019,35,588661
"AM",2019,45,398876
"AM",2019,55,251809
"AM",2019,65,130613
"AM",2019,75,65537
"AM",2019,90,6314
"AM",2020,25,712786
"AM",2020,35,603453
"AM",2020,45,413977
"AM",2020,55,262150
"AM",2020,65,137220
"AM",2020,75,68209
"AM",2020,90,6534
"AM",2021,25,724427
"AM",2021,35,616579
"AM",2021,45,429930
"AM",2021,55,272709
"AM",2021,65,144241
"AM",2021,75,71024
"AM",2021,90,6778
"AM",2022,25,737647
"AM",2022,35,628028
"AM",2022,45,446664
"AM",2022,55,283493
"AM",2022,65,151697
"AM",2022,75,73988
"AM",2022,90,7063
"AM",2023,25,751283
"AM",2023,35,638140
"AM",2023,45,463984
"AM",2023,55,294517
"AM",2023,65,159497
"AM",2023,75,77175
"AM",2023,90,7379
"AM",2024,25,763514
"AM",2024,35,647487
"AM",2024,45,481592
"AM",2024,55,305830
"AM",2024,65,167501
"AM",2024,75,80695
"AM",2024,90,7708
"AM",2025,25,773180
"AM",2025,35,656496
"AM",2025,45,499232
"AM",2025,55,317471
"AM",2025,65,175641
"AM",2025,75,84590
"AM",2025,90,8046
"AM",2026,25,782690
"AM",2026,35,664989
"AM",2026,45,516905
"AM",2026,55,329412
"AM",2026,65,183939
"AM",2026,75,88848
"AM",2026,90,8408
"AM",2027,25,788666
"AM",2027,35,672714
"AM",2027,45,534685
"AM",2027,55,341588
"AM",2027,65,192379
"AM",2027,75,93482
"AM",2027,90,8804
"AM",2028,25,791798
"AM",2028,35,680363
"AM",2028,45,552038
"AM",2028,55,354195
"AM",2028,65,200984
"AM",2028,75,98461
"AM",2028,90,9233
"AM",2029,25,791561
"AM",2029,35,688987
"AM",2029,45,568163
"AM",2029,55,367559
"AM",2029,65,209769
"AM",2029,75,103753
"AM",2029,90,9687
"AM",2030,25,791061
"AM",2030,35,699146
"AM",2030,45,582607
"AM",2030,55,381828
"AM",2030,65,218769
"AM",2030,75,109314
"AM",2030,90,10172
"AM",2031,25,790861
"AM",2031,35,710692
"AM",2031,45,595464
"AM",2031,55,396897
"AM",2031,65,227974
"AM",2031,75,115189
"AM",2031,90,10692
"AM",2032,25,789216
"AM",2032,35,723782
"AM",2032,45,606706
"AM",2032,55,412718
"AM",2032,65,237391
"AM",2032,75,121396
"AM",2032,90,11261
"AM",2033,25,787274
"AM",2033,35,737280
"AM",2033,45,616678
"AM",2033,55,429096
"AM",2033,65,247033
"AM",2033,75,127915
"AM",2033,90,11872
"AM",2034,25,786386
