"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_llt_expo","Eye & Appendage Diseases","Age","65-74",405,617.444,1.6927,941.674,-595.281,73.3,96.8
"nb5_llt_expo","Eye & Appendage Diseases","Age","75-89",405,926.122,3.2162,1599.889,-798.683,81.7,96.5
"nb5_llt_expo","Eye & Appendage Diseases","Age","90+",405,2063.885,15.3511,2520.568,2057.985,53.6,89.9
"nb5_llt_expo","Eye & Appendage Diseases","Region","North",735,321.783,10.9663,783.404,-4.771,82.2,96.3
"nb5_llt_expo","Eye & Appendage Diseases","Region","Northeast",945,520.087,0.6748,1026.763,128.361,82.3,96.8
"nb5_llt_expo","Eye & Appendage Diseases","Region","Center-West",420,908.06,0.6484,1858.694,150.44,83.6,97.9
"nb5_llt_expo","Eye & Appendage Diseases","Region","Southeast",420,728.066,0.5449,1299.129,106.111,85.5,99.3
"nb5_llt_expo","Eye & Appendage Diseases","Region","South",315,542.049,0.5437,1104.887,292.96,90.5,97.5
"nb5_drift","Glaucoma","Age","25-34",345,2.385,1.0783,3.642,1.565,91,98.3
"nb5_drift","Glaucoma","Age","35-44",390,3.193,0.931,4.888,2.451,97.2,99.7
"nb5_drift","Glaucoma","Age","45-54",390,3.624,0.8463,5.444,1.303,98.7,99.7
"nb5_drift","Glaucoma","Age","55-64",375,9.003,1.0183,14.514,-6.422,95.2,99.2
"nb5_drift","Glaucoma","Age","65-74",405,28.39,1.594,48.28,-25.049,84.7,98.8
"nb5_drift","Glaucoma","Age","75-89",375,33.509,2.8404,59.014,-21.977,94.7,99.2
"nb5_drift","Glaucoma","Age","90+",345,136.118,12.1253,191.832,134.167,71.9,96.2
"nb5_drift","Glaucoma","Region","North",570,12.553,5.5214,30.918,3.263,96,98.9
"nb5_drift","Glaucoma","Region","Northeast",900,28.897,2.377,79.211,10.529,89.3,98.7
"nb5_drift","Glaucoma","Region","Center-West",420,41.738,2.8784,93.902,13.22,90.2,98.8
"nb5_drift","Glaucoma","Region","Southeast",420,31.225,1.2739,66.976,7.634,88.6,99.3
"nb5_drift","Glaucoma","Region","South",315,44.685,0.9856,101.905,23.499,88.6,98.1
"nb5_drift","Retinopathy","Age","25-34",405,14.764,1.3001,20.208,13.938,93.1,99.5
"nb5_drift","Retinopathy","Age","35-44",405,20.726,1.0787,28.431,20.195,98.3,99.8
"nb5_drift","Retinopathy","Age","45-54",405,14.456,0.797,20.738,6.69,99.8,100
"nb5_drift","Retinopathy","Age","55-64",405,87.213,1.3385,119.341,-84.395,88.6,98.5
"nb5_drift","Retinopathy","Age","65-74",405,173.309,1.7193,237.267,-169.466,83,98.8
"nb5_drift","Retinopathy","Age","75-89",405,86.678,3.7322,141.825,-35.436,98.5,99.5
"nb5_drift","Retinopathy","Age","90+",390,660.068,13.3292,819.246,656.465,42.3,88.5
"nb5_drift","Retinopathy","Region","North",720,61.398,8.6884,171.432,10.136,87.8,97.5
"nb5_drift","Retinopathy","Region","Northeast",945,156.394,1.4847,320.499,63.788,84.1,97.2
"nb5_drift","Retinopathy","Region","Center-West",420,197.012,2.4437,422.724,73.553,88.3,98.6
"nb5_drift","Retinopathy","Region","Southeast",420,175.002,0.7656,339.715,70.834,85.7,98.6
"nb5_drift","Retinopathy","Region","South",315,222.302,0.7237,426.807,86.252,88.9,98.4
"nb5_drift","Eye & Appendage Diseases","Age","25-34",405,36.107,0.62,53.852,17.333,91.6,99
"nb5_drift","Eye & Appendage Diseases","Age","35-44",405,70.814,0.8003,105.073,64.644,90.6,99
"nb5_drift","Eye & Appendage Diseases","Age","45-54",405,97.341,0.6734,145.603,86.824,98.5,100
"nb5_drift","Eye & Appendage Diseases","Age","55-64",405,103.269,0.8206,145.038,-49.6,98,100
"nb5_drift","Eye & Appendage Diseases","Age","65-74",405,618.471,1.7483,940.135,-595.995,73.3,97.5
"nb5_drift","Eye & Appendage Diseases","Age","75-89",405,925.585,3.1454,1601.362,-798.283,80.7,96.8
"nb5_drift","Eye & Appendage Diseases","Age","90+",405,2056.13,15.2632,2504.574,2050.143,53.3,87.9
"nb5_drift","Eye & Appendage Diseases","Region","North",735,323.086,10.93,788.544,-8.443,81.4,96.3
"nb5_drift","Eye & Appendage Diseases","Region","Northeast",945,519.766,0.676,1024.77,129.369,82.2,96.7
"nb5_drift","Eye & Appendage Diseases","Region","Center-West",420,910.394,0.6518,1857.751,153.694,84.5,97.6
